model,accuracy,precision,recall,f1,auc,cv_f1_mean,cv_f1_std
Random Forest,0.9056603773584906,1.0,0.16666666666666666,0.2857142857142857,0.7375886524822696,0.06666666666666667,0.13333333333333333
Gradient Boosting,0.8301886792452831,0.2,0.16666666666666666,0.18181818181818182,0.6950354609929078,0.09350649350649351,0.1191412461421269
Logistic Regression,0.7169811320754716,0.2,0.5,0.2857142857142857,0.648936170212766,0.2901587301587301,0.13116298600964751
SVM,0.8490566037735849,0.375,0.5,0.42857142857142855,0.6418439716312057,0.3691896407685881,0.21845645909221584
