country,baseline_gdp_per_capita,scenario_gdp_per_capita,actual_co2_per_capita,predicted_baseline_co2,predicted_scenario_co2,co2_change_percent,gdp_level
Afghanistan,357.261152798144,392.98726807795845,0.1833467795852824,7.718820974544758,7.7188209745447605,3.451997744069359e-14,Low
Albania,6846.42669381643,7531.069363198074,2.001663973180583,10.048428683726994,10.046032750162832,-0.02384386295185537,Lower-Middle
Algeria,4961.55257664733,5457.707834312064,3.3350639369379804,7.749008721734658,7.749008721734656,-2.29236655059875e-14,Low
Andorra,42414.0590092117,46655.46491013287,5.771281600903331,9.521945326640559,9.521945326640559,0.0,Upper-Middle
Angola,2929.69445467272,3222.663900139992,0.7672226112121306,2.4950582573182434,2.3841753912867514,-4.444099279295864,Low
Antigua and Barbuda,20105.1989085164,22115.71879936804,5.7087462300732446,5.8331816644652745,5.833181664465275,1.522631165613705e-14,Upper-Middle
Argentina,13935.6811110049,15329.24922210539,3.9070290493919297,27.12821825908766,15.798851943736809,-41.762294180730564,Lower-Middle
Armenia,6571.97445545099,7229.17190099609,1.8691903543041897,13.15108421048852,13.319314388039551,1.2792114692479934,Lower-Middle
Aruba,30559.5335346581,33615.486888123916,107.91165781381044,11.104555226341178,11.104555226341178,0.0,Upper-Middle
Australia,55666.86673271664,61233.55340598831,14.861769437764062,16.138037726672607,16.138037726672607,0.0,High
Austria,52176.6649141178,57394.331405529585,6.98750731459742,7.903702351616245,7.885884821581725,-0.22543270535581106,High
Azerbaijan,7770.594223351,8547.653645686101,3.1572441695501254,13.55381090273177,13.553810902731769,-1.31059585540051e-14,Lower-Middle
"Bahamas, The",34957.1613279737,38452.87746077107,5.684991120345728,7.577495088907687,7.583473857529107,0.07890164957245144,Upper-Middle
Bahrain,30470.5219276023,33517.57412036254,20.16799447495332,20.29906936874623,20.30430439942757,0.0257895107713536,Upper-Middle
Bangladesh,2716.48592780431,2988.134520584741,0.4885913765971709,9.659925299454684,9.659925299454686,1.838892935849647e-14,Low
Barbados,22164.0260273876,24380.428630126364,4.427631252700855,5.794053698637207,5.806646667886915,0.21734298480303327,Upper-Middle
Belarus,7994.64806074889,8794.11286682378,6.427128703279374,19.644804857344113,19.64480485734411,-1.80847491466546e-14,Lower-Middle
Belgium,50822.2518538518,55904.47703923698,8.002424613941017,8.928084606739647,8.928989265929584,0.010132735405013313,High
Belize,7068.45478269722,7775.300260966943,1.6884635726399375,3.4026801398791555,3.416540526394621,0.40733733250513116,Lower-Middle
Benin,1266.42710981159,1393.0698207927492,0.5748754987553691,3.0186521143388143,3.018652114338815,2.942301351921986e-14,Low
Bermuda,55666.86673271664,61233.55340598831,178.84446091831535,15.568077647275647,15.568077647275652,3.4230755003546106e-14,High
Bhutan,3711.32767981591,4082.4604477975013,1.7671600201814797,3.2738963741320593,3.2962913020218485,0.6840451049928652,Low
Bolivia,3643.92826984604,4008.3210968306444,1.880409904518896,4.650570857005868,4.658989256455063,0.18101862562770113,Low
Bosnia and Herzegovina,7655.59421024383,8421.153631268215,7.033195810536813,19.697721053193412,19.697737276789603,8.23628080989687e-05,Lower-Middle
Botswana,8328.70905682185,9161.579962504036,3.3649030366917883,4.74422367012377,4.740669189277784,-0.07492228640840619,Lower-Middle
Brazil,9281.33334441234,10209.466678853574,2.033746807010143,39.688350742476366,39.68835074247637,1.7903055240832757e-14,Lower-Middle
British Virgin Islands,7606.2375253797,8366.861277917671,302.19995302591406,5.829175368708018,5.829699150990048,0.008985529665849484,Lower-Middle
Brunei Darussalam,36632.9280421411,40296.220846355216,15.679557283088478,15.938679768956513,15.938679768956513,0.0,Upper-Middle
Bulgaria,13999.6719197289,15399.639111701792,6.361853503512785,28.80549260541595,17.629059864696547,-38.799658432565856,Lower-Middle
Burkina Faso,836.118304593682,919.7301350530503,0.1897015767621877,1.9652056417768806,1.9665765892772766,0.06976101997938718,Low
Burundi,250.634225368744,275.69764790561845,0.0442906466336818,1.798247002672111,1.7983444047843493,0.005416503522245523,Low
Cabo Verde,4323.31362032709,4755.644982359799,1.19290184919027,6.796430519763818,6.817205101308271,0.3056690049878539,Low
Cambodia,2325.03050040841,2557.533550449251,0.6487721812069535,3.6093939452183776,3.555798758932678,-1.4848804840685565,Low
Cameroon,1604.87726954895,1765.364996503845,0.311948447008807,2.3664570331511885,2.3678448454347976,0.058645150288701826,Low
Canada,55666.86673271664,61233.55340598831,14.752439224907254,15.357322677568215,15.357322677568213,-1.1566839329324629e-14,High
Cayman Islands,55666.86673271664,61233.55340598831,161.75217555279295,19.212736437059217,19.212736437059217,0.0,High
Chad,966.036468278568,1062.640115106425,0.0579778747760265,2.207371838686229,2.2245027129171024,0.7760755995269557,Low
Chile,15405.6165774073,16946.178235148032,4.430002583741983,17.106230848822886,7.494481089221174,-56.1885890851468,Upper-Middle
China,12970.6056414327,14267.66620557597,44.88119055614668,44.85946899396858,32.68480416759117,-27.139565178567565,Lower-Middle
Colombia,6680.44506854481,7348.489575399291,1.5363965757897144,3.9793511355930713,3.9841331433318383,0.12017053976450177,Lower-Middle
Comoros,1533.87755332151,1687.2653086536611,0.3116803406426369,3.2941574730335033,3.2941574730335024,-2.6962233195313066e-14,Low
"Congo, Dem. Rep.",642.612267148918,706.8734938638099,0.0214850111577522,1.9134379578275824,1.9156698103174492,0.11664096453907087,Low
"Congo, Rep.",2620.83804304713,2882.9218473518436,0.5335450722970143,1.868473706049982,1.8489671370309335,-1.0439841329255914,Low
Costa Rica,13625.9008491478,14988.490934062582,1.6254195146764954,4.15833869943009,5.085133020972829,22.2876102341004,Lower-Middle
